
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787711201106 ;AL ;MACEIO ;TABULEIRO DO MARTINS ; AV. SEBASTIÃO CORREIA DA ROCHA, N. 1165, Apto 504, BL 12 ;105.570,73;178.150,00;40.75;Apartamento, 82.58 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711201106
 8444416892478 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RUA EM PROJETO, N. 530, Apto 102, LT 08, QD 30, LOT SIMOL ;100.741,08;170.000,00;40.75;Apartamento, 61.97 de área total, 48.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416892478
 8787712691573 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; RUA EM PROJETO 10, N. 03, Apto 06, BL A ;107.852,22;182.000,00;40.75;Apartamento, 60.55 de área total, 44.22 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712691573
 8787711075089 ;AL ;MACEIO ;PETROPOLIS ;RUA SAO LUIZ, N. 314, Apto 403, BL13 ;102.518,87;173.000,00;40.75;Apartamento, 49.71 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711075089
 8555519573652 ;AL ;MACEIO ;SANTA AMELIA ; MAC 102 CONJ RES JOSÉ MEDEIROS NETO, N. 82, Apto 101, BLOCO 04 ;64.415,08;108.000,00;40.36;Apartamento, 49.28 de área total, 46.25 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519573652
 8555517447200 ;AL ;MACEIO ;BENEDITO BENTES ;RUA EM PROJETO, N. 771, Apto 105, BL 08 ;82.643,12;137.738,53;40.00;Apartamento, 61.44 de área total, 47.77 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555517447200
 8555504512644 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;R EM PROJETO SETE MIL SEISCENTOS E SESSENTA E SETE, N. 140, Apto 503, BL 04,TRANSVERSAL AVENIDA MENINO MARCE ;115.200,00;192.000,00;40.00;Apartamento, 58.07 de área total, 44.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555504512644
 8555505422576 ;AL ;MACEIO ;BENEDITO BENTES ;AV ANTONIO LISBOA DO AMORIM, N. 524, CS 257 RUA E ;115.442,98;191.000,00;39.56;Casa, 79.39 de área total, 63.56 de área privativa, 208.84 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555505422576
 8444408759616 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RUA E, N. 63, LT 11 QD E ;88.518,56;145.000,00;38.96;Casa, 0.00 de área total, 31.85 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408759616
 8787703385279 ;AL ;MACEIO ;SAO JORGE ;RUA SANTA AMALIA, N. 923, Apto 108, BL 03 ;153.076,13;250.000,00;38.77;Apartamento, 0.00 de área total, 40.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703385279
