
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444429256001 ;RS ;ALVORADA ;MARIA REGINA ;RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO ;53.839,36;93.000,00;42.11;Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429256001
 8444432151746 ;RS ;ALVORADA ;CHÁCARA DO TORDILHO ;RUA VASCONCELOS, N. 55, Apto 101, LT P/110, QD 02 ;78.201,87;135.000,00;42.08;Apartamento, 30.40 de área total, 28.86 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444432151746
 8444431273090 ;RS ;ALVORADA ;TIJUCA ;RUA CANANEIA, N. 85, Apto 05, ;75.305,50;130.000,00;42.08;Apartamento, 0.00 de área total, 41.18 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444431273090
 8444429692391 ;RS ;ALVORADA ;MARIA REGINA ;RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401, ;48.215,58;83.000,00;41.91;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429692391
 8444424485169 ;RS ;ALVORADA ;JARDIM ALGARVE ;AVENIDA ZERO HORA, N. 1338, Apto 202, ;88.990,38;152.000,00;41.46;Apartamento, 38.70 de área total, 31.90 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424485169
 8444427399727 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA CENTO E CINQUENTA, N. 213, Apto 102, LT 21 QD E-4A ;90.746,77;155.000,00;41.46;Apartamento, 45.98 de área total, 45.98 de área privativa, 358.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427399727
 8787706049008 ;RS ;ALVORADA ;PIRATINI ;RUA F, N. 130, Apto 301, BL 7 ;94.815,14;160.000,00;40.75;Apartamento, 73.45 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706049008
 8444425919600 ;RS ;ALVORADA ;ALGARVE ;RUA TABELIAO CICERO PEREIRA BAPTISTA, N. 165, CS 01 ;117.558,43;194.500,00;39.56;Casa, 0.00 de área total, 41.98 de área privativa, 87.50 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425919600
 8444413568327 ;RS ;ALVORADA ;JARDIM ALGARVE ; RUA PICA-PAU, N. 67, CS 2 QD B-21 LT 51 ;123.904,77;205.000,00;39.56;Casa, 66.74 de área total, 66.74 de área privativa, 87.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413568327
 8555531574825 ;RS ;ALVORADA ;JARDIM ALGARVE ; RUA 01, N. 601, CASA 85 ;123.904,77;205.000,00;39.56;Casa, 51.54 de área total, 51.05 de área privativa, 85.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531574825
 8555531252453 ;RS ;ALVORADA ;STELLA MARIS ; RUA 1, N. 601, CASA 63 ;136.597,45;226.000,00;39.56;Casa, 0.00 de área total, 51.05 de área privativa, 85.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531252453
